MONITORIZAO HEMODINMICA INVASIVA OU NO INVASIVA,,,,,HCO,HSO,REF,,,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
MONITORIZAO NEUROFISIOLGICA INTRA-OPERATRIA,,,,,HCO,HSO,REF,,,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
POTENCIAL EVOCADO INTRA-OPERATRIO - MONITORIZAO CIRRGICA (PE/IO),,,,,HCO,HSO,REF,,,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
TESTE DE INCLINAO ORTOSTTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,67,MONITORIZAES,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
ADAPTAO E TREINAMENTO DE RECURSOS PTICOS,,,,Seg. Ambulatorial,,,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
AMPUTAO (PREPARAO DO COTO E TREINAMENTO PROTTICO),,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
BIOFEEDBACK COM EMG,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
EXERCCIOS DE ORTPTICA,,,,Seg. Ambulatorial,,,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
INFILTRAO DE PONTO GATILHO OU AGULHAMENTO SECO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REABILITACAO E REEDUCACAO DE SEQELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
REABILITAO LABIRNTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REABILITAO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUACAO E REABILITAO DE QUEIMADOS PARA PREVENO DE SEQUELAS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E REABILITAO CARDIOVASCULAR,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E REABILITAO DO SISTEMA LINFTICO E/OU VASCULAR PERIFRICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"REEDUCAO E REABILITAO DO SISTEMA MSCULO-ESQUELTICO POR DISTRBIOS CONGNITOS OU
REUMTICOS",,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E REABILITAO NEUROLGICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E REABILITAO NEURO-MSCULO-ESQUELTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E REABILITAO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E REABILITAO RESPIRATRIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
"REEDUCAO E REABILITAO TRAUMATO-ORTOPDICA (EXCLUI TCNICAS CINESIOTERPICAS
ESPECFICAS)",,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E/OU REABILITAO DE DISTRBIOS CRNIO-FACIAIS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
REEDUCAO E/OU REABILITAO NOS PROCESSOS INFLAMATRIOS PLVICOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,REABILITAO,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
ACTINOTERAPIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
APLICAO DE CARIOSTTICO (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,,,,,,79,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
APLICAO DE HIPOSSENSIBILIZANTE,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
APLICAO DE SELANTE (COM DIRETRIZ DE UTILIZAO),,,Seg. Odontológica,,,,,,80,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
APLICAO TPICA DE FLOR,,,Seg. Odontológica,,,,,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
APLICAO TPICA DE VERNIZ FLUORETADO,,,Seg. Odontológica,,,,,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
PROCEDIMENTO,"RN
(alterao)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPTULO
BETATERAPIA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CARDIOVERSO QUMICA DE ARRITMIA PAROXSTA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CATETERISMO VESICAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CERUMEN - REMOO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CRIOTERAPIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
CURATIVOS EM GERAL COM OU SEM ANESTESIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
DILATAO URETRAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
DESSENSIBILIZAO DENTRIA,,,Seg. Odontológica,,,,,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
ESTIMULAO ELTRICA TRANSCUTNEA (COM DIRETRIZ DE UTILIZAO),,,,Seg. Ambulatorial,HCO,HSO,REF,,24,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORASE OU VITILIGO,,,,Seg. Ambulatorial,,,REF,PAC,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
INSTILAO VESICAL OU URETRAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
LESES MSCULO TENDINOSAS - TRATAMENTO INCRUENTO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
PLANEJAMENTO TCNICO DA IMUNOTERAPIA ALRGENO INESPECFICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
PLANEJAMENTO TCNICO DA IMUNOTERAPIA ALRGENO-ESPECFICA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,TERAPUTICA,"PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLNICOS AMBULATORIAIS
E HOSPITALARES"
